,signal
2019-06-14 11:30:00+00:00,0
2019-06-14 11:45:00+00:00,0
2019-06-14 12:00:00+00:00,0
2019-06-14 12:15:00+00:00,0
2019-06-14 12:30:00+00:00,0
2019-06-14 12:45:00+00:00,0
2019-06-14 13:00:00+00:00,0
2019-06-14 13:15:00+00:00,0
2019-06-14 13:30:00+00:00,0
2019-06-14 13:45:00+00:00,0
2019-06-14 14:00:00+00:00,0
2019-06-14 14:15:00+00:00,0
2019-06-14 14:30:00+00:00,0
2019-06-14 14:45:00+00:00,0
2019-06-14 15:00:00+00:00,0
2019-06-14 15:15:00+00:00,0
2019-06-14 15:30:00+00:00,0
2019-06-14 15:45:00+00:00,0
2019-06-14 16:00:00+00:00,0
2019-06-17 09:45:00+00:00,1
2019-06-17 10:00:00+00:00,1
2019-06-17 10:15:00+00:00,1
2019-06-17 10:30:00+00:00,1
2019-06-17 10:45:00+00:00,0
2019-06-17 11:00:00+00:00,0
2019-06-17 11:15:00+00:00,0
2019-06-17 11:30:00+00:00,0
2019-06-17 11:45:00+00:00,0
2019-06-17 12:00:00+00:00,1
2019-06-17 12:15:00+00:00,1
2019-06-17 12:30:00+00:00,1
2019-06-17 12:45:00+00:00,1
2019-06-17 13:00:00+00:00,1
2019-06-17 13:15:00+00:00,1
2019-06-17 13:30:00+00:00,1
2019-06-17 13:45:00+00:00,0
2019-06-17 14:00:00+00:00,0
2019-06-17 14:15:00+00:00,0
2019-06-17 14:30:00+00:00,0
2019-06-17 14:45:00+00:00,0
2019-06-17 15:00:00+00:00,0
2019-06-17 15:15:00+00:00,0
2019-06-17 15:30:00+00:00,0
2019-06-17 15:45:00+00:00,0
2019-06-17 16:00:00+00:00,0
2019-06-18 09:45:00+00:00,0
2019-06-18 10:00:00+00:00,0
2019-06-18 10:15:00+00:00,0
2019-06-18 10:30:00+00:00,0
2019-06-18 10:45:00+00:00,0
2019-06-18 11:00:00+00:00,0
2019-06-18 11:15:00+00:00,0
2019-06-18 11:30:00+00:00,0
2019-06-18 11:45:00+00:00,0
2019-06-18 12:00:00+00:00,0
2019-06-18 12:15:00+00:00,0
2019-06-18 12:30:00+00:00,0
2019-06-18 12:45:00+00:00,0
2019-06-18 13:00:00+00:00,0
2019-06-18 13:15:00+00:00,0
2019-06-18 13:30:00+00:00,0
2019-06-18 13:45:00+00:00,0
2019-06-18 14:00:00+00:00,0
2019-06-18 14:15:00+00:00,0
2019-06-18 14:30:00+00:00,0
2019-06-18 14:45:00+00:00,0
2019-06-18 15:00:00+00:00,0
2019-06-18 15:15:00+00:00,0
2019-06-18 15:30:00+00:00,0
2019-06-18 15:45:00+00:00,0
2019-06-18 16:00:00+00:00,1
2019-06-19 09:45:00+00:00,1
2019-06-19 10:00:00+00:00,0
2019-06-19 10:15:00+00:00,0
2019-06-19 10:30:00+00:00,0
2019-06-19 10:45:00+00:00,0
2019-06-19 11:00:00+00:00,1
2019-06-19 11:15:00+00:00,1
2019-06-19 11:30:00+00:00,1
2019-06-19 11:45:00+00:00,1
2019-06-19 12:00:00+00:00,1
2019-06-19 12:15:00+00:00,0
2019-06-19 12:30:00+00:00,0
2019-06-19 12:45:00+00:00,1
2019-06-19 13:00:00+00:00,1
2019-06-19 13:15:00+00:00,1
2019-06-19 13:30:00+00:00,1
2019-06-19 13:45:00+00:00,1
2019-06-19 14:00:00+00:00,1
2019-06-19 14:15:00+00:00,1
2019-06-19 14:30:00+00:00,1
2019-06-19 14:45:00+00:00,1
2019-06-19 15:00:00+00:00,1
2019-06-19 15:15:00+00:00,1
2019-06-19 15:30:00+00:00,1
2019-06-19 15:45:00+00:00,1
2019-06-19 16:00:00+00:00,1
2019-06-20 09:45:00+00:00,1
2019-06-20 10:00:00+00:00,1
2019-06-20 10:15:00+00:00,1
2019-06-20 10:30:00+00:00,0
2019-06-20 10:45:00+00:00,1
2019-06-20 11:00:00+00:00,1
2019-06-20 11:15:00+00:00,1
2019-06-20 11:30:00+00:00,1
2019-06-20 11:45:00+00:00,1
2019-06-20 12:00:00+00:00,1
2019-06-20 12:15:00+00:00,1
2019-06-20 12:30:00+00:00,1
2019-06-20 12:45:00+00:00,1
2019-06-20 13:00:00+00:00,1
2019-06-20 13:15:00+00:00,1
2019-06-20 13:30:00+00:00,1
2019-06-20 13:45:00+00:00,1
