Date,GOOG,GOOGL,AMZN,MA,BA,C,ABT,CRM,COST,ACN,AVGO,MMM,CVS,FIS,SYK,MDLZ,CI,CME,ISRG,COP
2018-07-30,1219.739990234375,1230.0400390625,1779.219970703125,194.7849578857422,337.8863220214844,65.17597198486328,62.13557434082031,138.02999877929688,207.3997039794922,152.1188507080078,200.5493621826172,184.42967224121094,61.56328582763672,101.69346618652344,159.51083374023438,40.264949798583984,175.27572631835938,148.03131103515625,503.0,66.03749084472656
2018-07-31,1217.260009765625,1227.219970703125,1777.43994140625,194.9129638671875,342.9296875,64.81533813476562,62.48834991455078,137.14999389648438,207.02108764648438,152.03297424316406,197.50357055664062,190.90341186523438,59.216888427734375,99.8252944946289,157.82861328125,40.620784759521484,177.8731231689453,146.1121368408203,508.19000244140625,65.94610595703125
2018-08-01,1220.010009765625,1232.989990234375,1797.1700439453125,198.0630340576172,339.5225830078125,64.85138702392578,61.763736724853516,137.67999267578125,205.52552795410156,152.39556884765625,193.07740783691406,186.16500854492188,58.51388168334961,99.65105438232422,159.52049255371094,40.10576629638672,181.35284423828125,148.2333221435547,516.2899780273438,65.6171646118164
2018-08-02,1226.1500244140625,1241.1300048828125,1834.3299560546875,198.8603973388672,336.6062316894531,64.770263671875,61.573055267333984,141.13999938964844,209.30226135253906,152.8153839111328,192.67660522460938,184.79832458496094,58.23085403442383,99.9608154296875,160.92233276367188,40.414772033691406,187.27137756347656,147.8751983642578,521.9000244140625,65.38871765136719
2018-08-03,1223.7099609375,1238.1600341796875,1823.2900390625,198.0630340576172,335.3646545410156,65.67753601074219,62.19276809692383,141.0399932861328,210.16366577148438,153.02532958984375,193.97686767578125,186.3807830810547,59.24427795410156,100.88037872314453,159.81051635742188,40.97661209106445,187.6183624267578,148.41696166992188,522.5999755859375,65.14201354980469
2018-08-06,1224.77001953125,1237.6700439453125,1847.75,198.3977508544922,333.5647888183594,65.68660736083984,62.20230484008789,142.7100067138672,210.81675720214844,153.2257080078125,193.21096801757812,185.8502655029297,59.38123321533203,101.42243194580078,160.6129913330078,40.51777648925781,186.2403564453125,148.6373748779297,520.7999877929688,65.54405212402344
2018-08-07,1242.219970703125,1255.8399658203125,1862.47998046875,199.46092224121094,337.5975646972656,65.6956787109375,61.72559356689453,144.44000244140625,211.89581298828125,153.8173065185547,196.20330810546875,187.5316619873047,59.75555419921875,101.79025268554688,159.69451904296875,40.20877456665039,186.64682006835938,150.0606231689453,517.9000244140625,66.61317443847656
2018-08-08,1245.6099853515625,1261.3299560546875,1886.52001953125,199.69720458984375,334.72943115234375,66.13117218017578,61.82094192504883,145.1699981689453,212.57733154296875,153.7600555419922,195.44631958007812,186.24591064453125,62.23890686035156,102.47748565673828,160.64199829101562,39.693748474121094,187.82655334472656,150.35447692871094,519.280029296875,65.23339080810547
2018-08-09,1249.0999755859375,1264.4599609375,1898.52001953125,200.4256591796875,332.4564208984375,65.30553436279297,61.630245208740234,145.82000732421875,206.57618713378906,153.28297424316406,192.88148498535156,184.12393188476562,62.60410690307617,103.52288055419922,161.46376037597656,39.4783821105957,183.82139587402344,149.64743041992188,522.6900024414062,65.56233978271484
2018-08-10,1237.6099853515625,1252.510009765625,1886.300048828125,199.4904327392578,328.28765869140625,63.74504470825195,61.04865264892578,145.50999450683594,208.53555297851562,153.32115173339844,189.00746154785156,181.58843994140625,63.042362213134766,103.45513153076172,160.37132263183594,39.27237319946289,181.69984436035156,150.519775390625,521.02001953125,65.73595428466797
2018-08-13,1235.010009765625,1248.6400146484375,1896.199951171875,199.15574645996094,327.2720947265625,62.747047424316406,60.47659683227539,144.4499969482422,207.82565307617188,152.89173889160156,187.98329162597656,179.6822509765625,63.45319366455078,102.73886108398438,160.59364318847656,39.23491668701172,180.19293212890625,150.54730224609375,520.3599853515625,64.94097900390625
2018-08-14,1242.0999755859375,1258.1400146484375,1919.6500244140625,200.70127868652344,328.0264892578125,63.518226623535156,60.66728210449219,146.57000732421875,210.13525390625,153.85548400878906,184.61691284179688,180.2936553955078,65.16961669921875,103.2712173461914,160.6903076171875,39.206825256347656,183.70242309570312,152.71437072753906,529.0,65.92784118652344
2018-08-15,1214.3800048828125,1232.219970703125,1882.6199951171875,197.11801147460938,320.88836669921875,62.28432846069336,60.51472473144531,145.0399932861328,209.82289123535156,153.06350708007812,183.97567749023438,181.0758819580078,65.40699768066406,102.6227035522461,161.2413787841797,39.15064239501953,183.880859375,153.96324157714844,522.77001953125,61.97125244140625
2018-08-16,1206.489990234375,1224.06005859375,1886.52001953125,200.4256591796875,334.6423645019531,63.10995101928711,61.17259979248047,145.72999572753906,211.26165771484375,155.42991638183594,185.85479736328125,182.65838623046875,66.83126068115234,102.93244171142578,163.0879669189453,39.43156433105469,186.56748962402344,154.7069854736328,523.9000244140625,63.42413330078125
2018-08-17,1200.9599609375,1215.8499755859375,1882.219970703125,200.04171752929688,335.048583984375,63.20974349975586,61.70652770996094,145.02000427246094,213.61856079101562,157.33831787109375,186.37132263183594,184.11497497558594,67.26951599121094,103.66808319091797,164.33511352539062,39.99340057373047,186.71620178222656,155.5334014892578,524.9199829101562,63.753089904785156
2018-08-20,1207.77001953125,1221.949951171875,1876.7099609375,201.55767822265625,339.246337890625,63.9900016784668,61.630245208740234,145.7100067138672,215.19932556152344,157.5577850341797,184.10035705566406,183.9621124267578,68.12773895263672,104.03590393066406,163.2909698486328,40.09640121459961,186.27008056640625,155.80889892578125,525.3599853515625,64.43840789794922
